nome,categoria,cidade,estado,data,oficial,fotografos,link
1º DESAFIO CORRE MAIS- PEREIRAS 151 ANOS,Corrida de Rua,Pereiras,/ SP,10/08/25,False,1,https://www.ravelisports.com.br/evento/2025/corrida-de-rua/1-desafio-corre-mais
TREINO CLUBE DE CORRIDA HYPC,Treino,São Paulo,/ SP,12/08/25,True,0,
1ª ANHUMAS NIGHT RUN,Corrida de Rua,Anhumas,/ SP,16/08/25,True,3,https://tvcomrunning.com.br/1-anhumas-night-run
6ª CORRIDA NOTURNA REVOLUÇÃO DE 1932,Corrida de Rua,Cunha,/ SP,16/08/25,False,0,https://estounessa.com.br/#/home
CIRCUITO SUNSET RUN - ETAPA BOTUCATU,Corrida de Rua,Botucatu,/ SP,16/08/25,False,3,https://www.ticketsports.com.br/e/circuito-sunset-run---etapa-botucatu-72271
NATAN POR AÍ BRAVES KIDS - O DESAFIO DA LAMA!,Corrida de Obstáculos,São Bernardo do Campo,/ SP,16/08/25,True,13,https://www.gopanda.com.br/tickets/natan-por-ai-braves-kids-desafio-da-lama
SANTANDER TRACK&FIELD RUN SERIES CIDADE JARDIM 2,Corrida de Rua,São Paulo,/ SP,17/08/25,False,12,https://www.tfsports.com.br/run-series/cidadejardim_ii_25/
CORRIDA AFRODITE 2025-CANCELADA-82902,Corrida em Esteira,Santos,/ SP,17/08/25,False,4,https://www.dbueno.com.br/tipo_evento/corridas-de-rua/
1º PEDAL SOLIDÁRIO SÃO ROQUE,Ciclismo,Palmital,/ SP,17/08/25,False,1,https://www.facebook.com/share/p/187qLapuMK/
8ª CORRIDA PEDESTRE E CAMINHADA UNESP ASSIS,Corrida de Rua,Assis,/ SP,17/08/25,True,10,https://tvcomrunning.com.br/
TRIATHLON SANTA CECILIA - 3 ETAPA 2025,Corrida de Rua,Guarujá,/ SP,17/08/25,False,2,https://minhasinscricoes.com.br/Evento/TriathlonSantaCecilia-3Etapa2025
2º CORRIDA DE RUA CIDADE PAISAGEM,Corrida de Rua,Piquete,/ SP,17/08/25,True,1,
1ª CORRIDA OAB DE TAQUARITUBA,Corrida de Rua,Taquarituba,/ SP,17/08/25,True,3,https://www.instagram.com/gustavo_corretor_imoveis_itai?igsh=MWIxejY3N2x2NGI4Yw==
B.E. 7 RUN 7K,Corrida de Rua,Garça,/ SP,17/08/25,True,5,https://incentivoesporte.com.br/#/evento/b-e--7even-run-7k
2º CIRCUITO INTER REGIONAL DE MTB 3ª ETAPA AVANHANDAVA,MTB,Avanhandava,/ SP,17/08/25,True,0,https://dmeventosesportivos.com.br/
